exportador_anon;cnpj_anon;porte_do_exportador;descricao_da_operacao;uf;pais_destino_das_exportacoes;numero_da_operacao_anon;data_da_contratacao;moeda_sigla;fonte_de_recursos_desembolsos;custo_financeiro;setor_subsetor_de_atividade;area_operacional;modalidade_de_apoio;forma_de_apoio;produto;modalidade_operacional;mutuario;categoria;situacao_da_operacao;tipo_de_garantia
Exportador_7;68ddfb43674229b3b6848ee1726e370e0152bbeb67fbf53a2459317a9ea8286f;MÉDIA;Exportação de bens;SP;ARGENTINA;07XXX14;2002-02-04;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE PRODUTOS DIVERSOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_8;3965bc3fe2212fbf53a177326135b4952be8c9d55972a0af0a08ad4a052d3774;GRANDE;Exportação de bens e serviços;RJ;DIVERSOS;08XXX89;2002-02-05;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/MANUTENCAO, REPARACAO E INSTALAÇÃO DE MÁQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Seguro de crédito/FGE / Pessoal
Exportador_3;13324c38e553836e3228fa6dbf84570917174c054e0fb9ca9af7f4091390e88e;GRANDE;Exportação de bens;SC;ESTADOS UNIDOS;07XXX09;2002-02-06;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_1;ca525e7a49e512c307fee61f4254efeb5883115cff255e203525a54b3946e365;GRANDE;Exportação de bens;RS;ARGENTINA;09XXX03;2002-02-25;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE VEICULOS AUTOMOTORES, REBOQUES E CARROCERIAS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_9;11370715061df97df868c8033e5d20e494733ab09049f3b87c692c87c0d783bb;GRANDE;Exportação de bens;RS;ESTADOS UNIDOS;09XXX94;2002-02-25;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_9;11370715061df97df868c8033e5d20e494733ab09049f3b87c692c87c0d783bb;GRANDE;Exportação de bens;RS;ESTADOS UNIDOS;09XXX94;2002-03-04;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE PRODUTOS DE METAL, EXCETO MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_3;13324c38e553836e3228fa6dbf84570917174c054e0fb9ca9af7f4091390e88e;GRANDE;Exportação de bens;SC;ESTADOS UNIDOS;07XXX09;2002-03-07;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/METALURGIA;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_10;684927213dee296a740af4649a71273111d90a960c6a16c3bd34fbad4cc85a45;GRANDE;Exportação de bens;SP;PERU;07XXX10;2002-03-22;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_11;0f489bb898ce59b7c7cbd17f590181637a377b21e0b238d8f1c002dcf6cc9582;GRANDE;Exportação de bens;SC;ESTADOS UNIDOS;08XXX17;2002-03-26;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE PRODUTOS TEXTEIS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
Exportador_12;6bd892bb8c177813ecc28bf68825b6ee4b4cf7c905f1feb6d1afd29727ccb259;GRANDE;Exportação de bens;RS;PERU;09XXX15;2002-03-27;US$ COMPRA;FAT CAMBIAL;Taxa de juros em moeda estrangeira;INDUSTRIA/FABRICACAO DE MAQUINAS E EQUIPAMENTOS;AREA DE COMÉRCIO EXTERIOR;Reembolsável;Direta;BNDES EXIM PÓS-EMBARQUE;Supplier;Ente privado;Bens de capital e demais operações;LIQUIDADA;Pessoal
